Index | OID        | Off=0    | Off=1    | Off=2    | Off=3    | Off=4    | Off=5    | Off=6    | Off=7    | Off=8    | Off=9    | Off=10   | Off=11   | Off=12   | Off=13   | Off=14   | Off=15   | Off=16   | Off=17   | Off=18   | Off=19  
41    | 1006115   | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v     | f13r    
42    | 1006116   | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r     | f13v    
43    | 1006117   | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v     | f14r    
44    | 1006118   | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r     | f14v    
45    | 1006119   | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v     | f15r    
46    | 1006120   | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r     | f15v    
47    | 1006121   | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v     | f16r    
48    | 1006122   | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r     | f16v    
49    | 1006123   | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v     | f17r    
50    | 1006124   | f27r     | f26v     | f26r     | f25v     | f25r     | f24v     | f24r     | f23v     | f23r     | f22v     | f22r     | f21v     | f21r     | f20v     | f20r     | f19v     | f19r     | f18v     | f18r     | f17v    
