Folio,Plant Name,Keyword 1,Score 1,Keyword 2,Score 2,Keyword 3,Score 3
f25v,Woad / Isatis tinctoria,dshey,0.1159,qokcho,0.1036,poeeaiin,0.0746
f33r,Gentiana / Gentiana verna,chdal,0.0885,aiin,0.0752,okaiin,0.0625
f37r,Foxglove / Digitalis purpura,qokaiin,0.0771,qotor,0.0580,tocphol,0.0570
f38v,Stonecrops / Sedum anacampseros,okeey,0.0756,qokeey,0.0708,okchop,0.0695
f39v,Ragwort / Senecio vulgaris,aiin,0.0641,olky,0.0548,sheedy,0.0472
f40r,Primula / Primula minima,okar,0.0720,qokar,0.0698,okaiin,0.0690
f42v,Columbine / Aqulegia vulgaris,taiin,0.0514,qocho,0.0423,shols<-><!plant>chol,0.0423
f43r,Alpine Balsum / Erinus alpinus,qotedy,0.0684,opchdy,0.0486,yty,0.0473
f45v,Lavender / Lavendula officinulis,qotol,0.0788,korary,0.0533,chko,0.0533
f46v,Ploughman’s Spikenard / Inula conyza,shedy,0.0766,chdam,0.0626,daim,0.0585
f48r,False Hellebore / Adonis vernalis,ykeey,0.0519,pshdaiin,0.0461,sheo!daiin,0.0461
f49r,Blue Nile Lotus / Nymphaea caerulea,sheor,0.0662,choshy,0.0654,cheey,0.0537
f50r,Masterwort / Astrantia major,kar,0.1200,qokchdy,0.1102,okar,0.0480
f50v,Soldanella / Soldanella pulsitilla,okai!n,0.0770,qokedy,0.0613,kar,0.0435
f51r,European Searocket / Cakile maritima,ckhey,0.0901,qockhey,0.0891,ckheody,0.0822
f56r,Round Leaf Sundew / Drosera rotundifolia,chokeey,0.0846,schol,0.0703,keey,0.0536
f56v,Sago Palm / Cycas revoluta,kcheey,0.0860,chotor,0.0860,qoteey,0.0699
f93r,Artichoke / Cynara cardunculus,shodaiin,0.0551,qokor,0.0527,chokal,0.0500
f94v,Rose Campion / Lychnis coronaria,oteey,0.0940,tam,0.0749,tshedy,0.0451
