Cluster ID,Astronomical_Count,Astronomical_Freq,Biological_Count,Biological_Freq,Herbal_Count,Herbal_Freq,Recipes_Count,Recipes_Freq,Rosettes_Count,Rosettes_Freq,Dominant_Section,Dominant_Share
ai,2,6.587615283267457,33,47.826086956521735,5,3.7136066547831255,60,56.15874204417821,17,93.45794392523364,Recipes,0.5128205128205128
al,112,368.9064558629776,79,114.4927536231884,130,96.55377302436126,163,152.5645825533508,32,175.92083562396923,Recipes,0.31589147286821706
am,5,16.46903820816864,7,10.144927536231885,13,9.655377302436126,12,11.231748408835642,2,10.995052226498077,Herbal,0.3333333333333333
an,0,0.0,0,0.0,4,2.9708853238265003,1,0.9359790340696369,0,0.0,Herbal,0.8
ao,2,6.587615283267457,0,0.0,0,0.0,0,0.0,0,0.0,Astronomical,1.0
ar,75,247.03557312252963,85,123.18840579710145,151,112.15092097445039,172,160.98839385997755,60,329.85156679494224,Recipes,0.31675874769797424
as,0,0.0,1,1.4492753623188406,1,0.7427213309566251,0,0.0,0,0.0,Biological,0.5
ay,1,3.2938076416337285,0,0.0,0,0.0,1,0.9359790340696369,0,0.0,Astronomical,0.5
cf,0,0.0,1,1.4492753623188406,0,0.0,3,2.8079371022089106,1,5.497526113249038,Recipes,0.6
ch,1,3.2938076416337285,0,0.0,1,0.7427213309566251,2,1.8719580681392738,1,5.497526113249038,Recipes,0.4
cs,1,3.2938076416337285,0,0.0,0,0.0,0,0.0,1,5.497526113249038,Astronomical,0.5
ct,2,6.587615283267457,0,0.0,1,0.7427213309566251,0,0.0,0,0.0,Astronomical,0.6666666666666666
cy,1,3.2938076416337285,1,1.4492753623188406,3,2.228163992869875,1,0.9359790340696369,0,0.0,Herbal,0.5
da,2,6.587615283267457,0,0.0,3,2.228163992869875,1,0.9359790340696369,0,0.0,Herbal,0.5
dg,1,3.2938076416337285,1,1.4492753623188406,0,0.0,0,0.0,0,0.0,Astronomical,0.5
dl,1,3.2938076416337285,0,0.0,2,1.4854426619132501,5,4.679895170348185,0,0.0,Recipes,0.625
dm,3,9.881422924901186,0,0.0,6,4.45632798573975,1,0.9359790340696369,1,5.497526113249038,Herbal,0.5454545454545454
do,1,3.2938076416337285,0,0.0,5,3.7136066547831255,1,0.9359790340696369,0,0.0,Herbal,0.7142857142857143
dr,1,3.2938076416337285,0,0.0,1,0.7427213309566251,1,0.9359790340696369,0,0.0,Astronomical,0.3333333333333333
